 âba _babalar pederler 
 abd _  kul, köle, hizmetçi.  
 ehl-i zındıka _ dinsizler, îmansızlar.  
 ehl-i zikir _  Allah'ı zikredenler, çok ananlar.  
 ehlen ve sehlen _  hoş geldiniz, buyursunlar mânâsında.  
 ehram _ Mısır'da fir'avunların piramit şeklindeki mezarları.  
 ehvâl _  korkular, fenalıklar, sıkıntılar.  
 ehvâl-i muhavvifâne _  dehşetli korkular.  
 ehven _  daha aşağı, daha ucuz; bayağı; âdi, zararı az olan, en zararsız. en kolay, daha kolay.  
 ejder _  büyük canavar, büyük yılan.  
 ejderha _  ejder, büyük canavar, büyük yılan 
 ekall _  az, en az.  
 ekâlliyet-i müsrife _  müsrif azınlık.  
 ekall-i zâlim _  zâlim azınlık. Bir avuç zâlim.  
 ekalliyet _  azınlık.  
 ekber _ en büyük.  
 ekl _  yemek (fiil. ) yiyecek.  
 ekmel _  en kusursuz, en mükemmel, en olgun, tam.  
 ekser _  pek çok, birçok, daha çok..  
 ekseri _  genellikle, çoğunlukla.  
 ekserin-i avâm _  halkın çoğunluğu.  
 ekseriyâ _  pek çok zaman, çoğunlukla.  
 ekseriyet _  çoğunluk.  
 ekseriyet-i mutlaka _  tam ve kesin çoğunluk, çok büyük ekseriyet 
 ekvâni _  kevne âit, varlığa ve oluşa âit.  
 el'an _ şimdi, hâl.  
 el-Bakara _  Kur'ân'ın en uzun süresi.  
 el-hakku ya'lu _  hak, hakîkat yücedir.  
 el-hükmü lilgâlib _  hüküm çoğunluğa göredir.  
 el-iyâzu billâh _  "Allah'a sığınırız, Allah korusun, Allah saklasın" mânâsında duâ.  
 elcevap _  cevap, cevaben.  
 elem-i mânevi _  mânevi acı.  
 elem-i zevâl _  sona erme elemi ve acısı.  
 elem _  ağrı, acı, keder, dert, gam, kaygı, üzüntü, sıkıntı, acı.  
 elemkârâne _  elemlice, acılı bir şekilde.  
 elfaz _  ağızdan çıkan sözler, kelimeler.  
 elfâz-ı Kur'aniye _  Kur'ân'ın lâfızları.  
 elfâz-ı tahmidiye _  tahmid lâfızları, Allah'a hamdetmek için kullanılan kelimeler.  
 elhak _  hakkın ta kendisi, tam doğrusu, tam gerçekten.  
 Elhamdülillâh _ . ezelden ebede her türlü hamd ve övgü, şükür ve minnet Allah'a mahsustur.  
 elhâsıl _  kısacası, netice olarak, özetle.  
 elhikmetü lillâh _  hikmet Allah'ındır.  
 elim _  acı veren, çok acıklı, üzüntü veren 
 elif _  Arab alfabesinin ilk harfi. Bir çizgi. Ülfet eden.  
 elmas _  en saf karbon olan ve cam gibi şeffaf, parlak maden.  
 elsine-i mahsusa _  özel diller, her varlığın kendine has dili.  
 eltaf _  lütuflar. İyi muameleler. Daha letafetli, hoş ve güzel.  
 eltâf-ı İlâhiye _  İlâhî lütuf ve ihsanlar.  
 elvâh-ı kaderiye _  kader levhaları.  
 elvâh-ı mahfuza _  her şeyin her şeyiyle yazılıp, çizildiği, korunduğu levhalar.  
 elvâh-ı misalice _  misâli levhalar.  
 elvân _  renkler.  
 elvân-ı ibâdet _  ibâdet renkleri, (çeşit çeşit ibâdetler).  
 elvân-ı seb'a _  yedi. renk.  
 elyak _  daha lâyık, en lâyık olan.  
 ehem _  çok lüzumlu, en çok lâzım olan.  
 emâm _  bir şeyin ön tarafı.  
 emân _  korkusuzluk, af ve yardım dileme, eminlik.  
 emânet _  eminlik, istikâmet üzere bulunmak, birisine koruması için verilen şey, birisine koruması için bir şey vermek.  
 emânet-i kübrâ _  en büyük emânet; dağın taşın ağırlığından çekinip ancak insanın omuzladığı, İlâhi emirler, sorumluluk.  
 emârât _  işaretler, belirtiler, ipuçları.  
 emârât-ı haşr _  haşirin emareleri, yeniden dirilişin belirtileri, örnekleri.  
 emâre _  delil, işaret, iz, belirti, ipucu, alâmet.  
 emel _  ümit, şiddetli istek, gâye.  
 emin _  kalbinde korku ve endişesi olmayan, korkusuz, güvenilir; güvenen, inanan 
 emîr _  idâreci.  
 emirber _  emir alan, emre göre hareket eden, iş gören.  
 emn _  eminlik, korkusuzluk, emniyet.  
 emn ü emân _  emniyet ve korkusuzluk.  
 emn ü emânet _  emniyet ve eminlik.  
 emniyet _  güven. 
 emniyet-i tâmme _  tam ve eksiksiz emniyet, tam güven ve korkusuzluk.  
 emr _  iş, faaliyet · emir, kânun.  
 emr-i bîemâni _  amansız bir emir.  
 emr-i ezeli _  Cenâb-ı Hak'kın ezeli iradesine dayanan "Kün fe yekûn" emr-i ezelisi.  
 emr-i gaybî _  gaybî emir, görmediğimiz ve bilmediğimiz emir.  
 emr-i Hak _  Allah'ın emri. Allah'ın izni.  
 emr-i itibâri _  aslında yok olduğu halde öyle düşünülen iş, hakikatte olmadığı halde var olduğu kabul edilen emir, iş.  
 emr-i itibâriye _  aslında olmadığı halde var zannedilen emir, iş.  
 emr-i İlâhi _  Allah'ın emri.  
 emr-i küfri _  küfre âit veya ilgili olan iş, inkârla ilgili husus.  
 emr-i mânevi _  mânevi emir, İlâhi kânun.  
 emr-i müheyyic _  heyecan veren iş, insanı telâşa sevkeden husus.  
 emr-i nâfiz _  tesirli emir, geçerli emir.  
 emr-i nisbî _  vücud-u haricisi bulunmayan, ancak kıyas ile olabilen emir, iş veya hadise.  
 emr-i Rabbâni _  Allah'ın emri.  
 emr-i sâbit _  sâbitleşmiş, kesinleşmiş, yerleşmiş ilâhî kânunlar; emirler.  
 emr-i tekvinî _  yaratılışa âit İlâhî kânun ve nizam; kâinata yaratılıştan konulan emir ve kânunlar.  
 emr-i zekât _  zekât emri.  
 emr _  Cenâb-ı Hak'kın şuunatından ve emir dâiresinden olan.  
 emrî kânunlar _  Cenâb-ı Hakkın emir dâiresinden gelip işleyen kanunlar.  
 emsâl _  misâller, denk, benzer; atasözleri.  
 emvâc-ı zeval _  zeval dalgaları.  
 emvât _  ölüler, meyyitler.  
 enâm _  halk; mahlûkât; çevre.  
 enâniyet-i insâniye _  insanın sadece kendine güvenmesi, benlik.  
 enâniyet-i neviye _  taraftarlarının enâniyet ve gururu.  
 enâniyet _  benlik, gurur.  
 enbiyâ-i sâlife _  geçmiş peygamberler.  
 enbiyâ _  peygamberler.  
 endişe-i helâket _  mahvolma, yok. olma endişesi.  
 ene _  ben, benlik.  
 enfâs _  nefesler, soluklar.  
 enfüsî _  dar dâirede, nefis ve beden dâiresinde olanlar, kişinin iç dünyasıyla ilgili.  
 enhâr _  nehirler, ırmaklar.  
 enin _  acı ve sızıdan inleyiş.  
 enindar _  inleyerek.  
 enîs _  dost, arkadaş; alışılmış, kendisiyle ünsiyet. edilmiş olan.  
 enkaz-ı maddiye _  toprağa sinmiş moloz ve yığınlar.  
 enmûzec _  örnek.  
 ensâl-i âtiye _  gelecek nesiller.  
 enseb _  en uygun, çok münâsip,. tam yerinde.  
 envâ _ çeşitler, türler, cinsler, nevîler.  
 envâ-ı acâip _  acaib çeşitlilik. Harikalıklar.  
 envâ-ı âlem _  kâinattaki çeşitler, türler; âlemdeki çeşit çeşit varlıklar.  
 envâ-ı cemâl _  güzelliği, çeşitleri ve dereceleri.  
 envâ-ı cünûd _ çeşitli askerler.  
 envâ-ı ehl-i şirk _  şirk ve küfre gidenlerin çeşitleri.  
 envâ-ı hâcât _ türlü türlü ihtiyaçlar.  
 envâ-ı harekât _  hareketin çeşitliliği.  
 envâ-ı hayat _  hayat çeşitleri, yaşayış seviyeleri.  
 envâ-ı hayvanât _  hayvanların cinsleri, çeşitleri.  
 envâ-ı hüsün _ güzellik çeşitleri.  
 envâ-ı i'câz _ mu'cizeliğinin, üstün vasıf ve güzelliğin çeşitleri.  
 envâ-ı i'câz-ı Kur'ân _  Kur'ân'ın muhtelif yönlerden mu'cizeliği.  
 envâ-ı ibâdât _  ibâdetlerin çeşitleri.  
 enva-ı ihsanât _  çeşit çeşit lütuf; ikram ve ihsanlar, nimetler.  
 envâ-ı kâinât _  kâinattaki çeşitli varlıklar.  
 envâ-ı kemâlât _  çeşit çeşit mükemmellikler.  
 envâ-ı lezâiz _  lezzet çeşitleri.  
 envâ-ı mahlukat _  mahlukat çeşitleri, cinsleri.  
 envâ-ı masnûât _  sânatla yaratılmış çeşit çeşit yaratıklar.  
 envâ-ı matûmât _  yiyecek ve taam çeşitleri.  
 envâ-ı mehâsin _ çeşit çeşit güzellikler.  
 envâ-ı mevcudat _  çeşit çeşit varlıklar.  
 envâ-ı mu'cizât _  mu'cizelerin çeşitleri.  
 envâ-ı nakış _  nakış, süsleme çeşitleri.  
 envâ-ı ribâ _ faizin çeşitleri. Her çeşit faiz.  
 envâ-ı sağire _  küçük çeşitler.  
 envâ-ı şirk _ şirk ve dalâletin çeşitleri.  
 envâ-ı tecelliyât _  görünüşlerin çeşitleri. Çeşit çeşit hikmetli ve ibretli görüntüler.  
 envâ-ı Tevhid _  tevhidin nevileri, çeşit ve mertebeleri.  
 envâ-ı zevi'l-hayat _  canlı türleri, çeşit çeşit canlılar.  
 envâ-ı zînet _  süs çeşitleri.  
 envâ-ı zinet ve mehâsin _  çeşit çeşit süsler ve güzellikler.  
 envâr _ nurlar. · 
 envâr-ı esrâr _ sırların nurları.  
 envâr-ı hakaik _  gerçeklerin nurları.  
 envâr-ı hidâyet _  hidâyet nurları.  
 envâr-ı hüsün _  iyilik ve güzellik nurları.  
 envâr-ı iman _  iman nurları.  
 envâr-ı imâniye _  îmânın nurları.  
 envâr-ı İslâmiye _  İslâm'ın nurlu esasları.  
 envâr-ı kudsiye-i esmâ _  isimlerin kudsî nurları.  
 envâr-ı kudsiye-i esmâiye _  Allah'ın kudsi isimlerinin nurları.  
 envâr-ı Kur'aniye _  Kur'ân nurları.  
 envâr-ı mârifet _  mârifet nurları.  
 envâr-i Rahimiyet _  Rahimiyet nurları.  
 envâr-ı sitte _  altı nurlar.  
 envâr-ı vücud _  eşyanın, vücudun nurlanması.  
 envâr-ı vücûdiye _  varlık nurları.  
 enzâr _  bakışlar, nazarlar.  
 enzâr-ı dikkat _  dikkat bakışları.  
 enzâr-ı halk _  halkın bakışları.  
 enzâr-ı mahlûkât _  yaratıkların bakışları.  
 erbab _  sahipler.  
 erbâbû'l-envâ _  her bir nev'in, cinsin, türün başka bir yaratıcısı olduğunu kabul. eden şirk yolu; müşrik felsefe.  
 Erhamü'r-Râhimin _  merhametlilerin en merhametlisi olan Allah.  
 erkân _  rükünler, esaslar.  
 erkân-ı azime _  büyük ırmaklar.  
 erkân-ı hamse _  beş rükün, İslâmın beş şartı.  
 erkân-ı hamse-i İslâm _  İslâm'ın beş şartı.  
 erkân-ı imâniye _  imânın şartları.  
 erkân-ı İslâmiye _  İslâmın temel şartları, rükünleri.  
 erkân-ı sitte _  altı rükün, îmanın altı şartı.  
 erkân-ı sitte-i iman _  imânın altı rüknü, esası.  
 erkân-ı sitte-i îmâniye _  îmânın altı şartı.  
 ervah _  ruhlar.  
 ervâh-ı âfilîn _  fâni ruhlar. Kaybolan ruhlar. Ölümlü ruhlar.  
 ervâh-ı âliye _  yüce ruhlar. Yüksek ve temiz ruhlar.  
 ervâh-ı bâkîye _  bâki ruhlar.  
 ervâh-ı emvât _  ölülerin ruhları.  
 ervâh-ı enbiyâ _  peygamberlerin ruhları.  
 ervâh-ı habîse _  kötü ruhlar.  
 ervâh-i neyyire _  mânen büyük ve nurlu ruhlar.  
 ervâh-ı sâfile _  aşağı ruhlar. Kötü ve kirlenmiş ruhlar.  
 ervâh-ı sâfiye _  temiz ve pak ruhlar, iyi kimselerin veya meleklerin ruhları.  
 ervâh-ı tayyibe _  temiz ve iyi ruhlar.  
 erzak _  rızıklar, azıklar yiyecek, içecek maddeler.  
 erzâk-ı hayvâniye _  hayvana âit rızıklar.  
 erzâk-ı maddiye _  maddi rızıklar.  
 es'lie _  suâller.  
 esâlib _  üsluplar.  
 esâlib-i Kur'âniye _  Kur'ân'ın üslupları.  
 esâret _  esirlik.  
 esâret-i hayvâni _  hayvan gibi yaşamak; başıboş ve nefsine esir olarak.  
 esâs-ı akâid _  îman esâsı.  
 esâs-ı bâhire _  ap açık esas. Büyük ve kuvvetli esaslar.  
 esâs-ı i'câz _  i'câz esası, mucizelik prensibi.  
 esâs-ı ubudiyet _  kulluğun esası.  
 esâsât _  esaslar, temeller, asıllar.  
 esâsât-ı fâside _  yanlışa ve fesada götüren esaslar.  
 esâsât-ı îmâniye _  iman esasları.  
 esâsât-ı İslâmiye _  İslâm esasları.  
 esâsât-ı katiye _  kesin esaslar, temel unsurlar.  
 esâsât-ı Kur'âniye _  Kur'ân'ın esasları.  
 esâsât-ı sabıka _  sadık ve doğru esaslar.  
 esâsât-ı sanat _  san'atın esasları.  
 esbab _  sebepler, sebep olanlar  
 esbâb-ı emn _  emniyet sebepleri.  
 esbâb-ı ifsad _  bozucu ve bozguncu sebepler.  
 esbâb-ı maddiye _  maddi sebepler.  
 esbâb-ı mânia _  mâni olan sebepler.  
 esbâb-ı mucibe _  gerektirici sebepler.  
 esbâb-ı nüzul _  Kur'ân'ın âyetlerinin inmesine sebep olan hâdiseler.  
 esbâb-ı tabii _  tabii ve zahiri sebepler.  
 esbâb-ı tabiiye _  tabiattaki sebepler.  
 esbâb-ı tabiiye _  tabiî sebepler.  
 esbâb-ı zâhiri _  görünüşteki sebepler.  
 esbâb-ı zâhiriye _  dış sebepler, görünüşteki sebepler.  
 esbab-ı zâhiriye-i süfliye _  aşağı ve görünüşteki sebepler.  
 esbabperest _  Allah'ı unutup sebeplere haddinden fazla değer veren, her şeyi bir sebebe bağlayarak Allah'ın her şeyin yaratıcısı olduğunu inkâr eden veya Ona kıymet vermek istemeyen.  
 esef _  üzüntü.  
 eser-i dest _  el eseri.  
 eseri itkân-ı sanat _  sağlam ve pürüzsüz sanat eseri.  
 eser-i mükemmel _  mükemmel ve kusursuz eser.  
 eseri nurâni _  parlak eser.  
 eser-i rahmet _  rahmet eseri.  
 eser-i Samedânî _  Her şey Kendisine muhtaç olduğu halde Kendisi hiç. bir şeye muhtaç olmayan Allah'ın eseri.  
 eseri sanat _  sanat eseri.  
 eser-i sun' _  san'at eseri.  
 eseri tasannu _  yapmacıklık eseri.  
 esfel-i sâfilin _  aşağıların en aşağısı Cehennemin en aşağı tabakası.  
 eshel _  çok kolay, daha kolay.  
 esir _  bütün kâinatta bulunan ve her tarafı kaplamış olan lâtif madde, elektrik, ışık ve sıcaklığın yayılmasına vasıtalık eden madde.  
 eslâf _  öncekiler, geçmişler.  
 eslem _  daha selâmetli ve sağlam.  
 eslihâ _  silâhlar.  
 esmâ _  adlar, nâmlar, isimler.  
 Esmâ-i Hüsnâ _  Allah'ın güzel isimler.  
 esma-i Fâtır _  Yaradan'ın yarattığı şeydeki asıl ve hakim ismi. (Yağmuru, Rahman ismiyle yaratması gibi.) 
 esma-i İlâhiye _  Allah'ın isimleri.  
 esma-i kudsi _  Cenâb-ı Hakkın pak ve yüce isimleri.  
 esmâ-i kudsiye _  Allah'ın mukaddes isimleri.  
 esmâ-i kudsiye-i İlâhiye _  Allah'ın mukaddes isimleri 
 esmâ-i kudsiye-i nurâniye _  Cenâb-ı Allah'ın nurânî ve mukaddes isimleri.  
 esmâ-i Rabbâniye _  her şeyi terbiye eden Allah'ın isimleri.  
 esmâi _ (Allah'ın) isimleriyle ilgili.  
 esmâr _  meyveler. Yemişler.  
 esnâf _  Sınıflar, cinsler.  
 esnâf-ı mahlukat _ yaratıkların sınıfları.  
 esnâf -ı masnuat _  sanatın çeşitleri.  
 esnam _ sanemler, Tapınak. Putçuluk.  
 esrâr _ gizli sırlar gizli hikmetler ve mânâlar ve hakikatler.  
 esrarı Cehennem ve Cinan _  Cennet ve Cehennemin sırları.  
 esrar-ı Rabbâniye _  Rabbâni sırlar.  
 esrar-ı rahmet _  rahmet sırları.  
 esrarengiz _  sırlarla dolu; sırlı olan.  
 esselâmü aleyke ya eyyühe-l üstad _  Allah'ın selamı senin üzerine olsun ey üstad! 
 Eş'ar _  Ehl-i Sünnet itikâdına, âyet ve hislerle tercümanlık edip yaptığı şerh ve izâhlarla büyük hizmet eden bir hak mezhep.  
 eşcar _  ağaçlar.  
 eşedd-i ihtiyaç _  ihtiyacın en şiddetlisi.  
 eşedd-i istibdat _  istibdadın, baskı ve keyfi idârenin en şiddetlisi.  
 eşedd-i Zulüm _  zulmün en şiddetlisi.  
 eşeff _  daha parlak ve şeffaf.  
 eşhâs _  şahıslar.  
 eşhâs-ı âhirzaman _  ahirzaman şahısları.  
 eşhas-ı harika _  harika şahıslar.  
 eşkal _  şekiller, sûretler.  
 eşkal-i muntazama _  düzenli şekiller.  
 eşmel _  daha şâmil, daha çok kaplamış, çok şeyleri içine alan.  
 eşne' _  en kötü.  
 eşraf _  ilerî gelenler, şerefliler.  
 eşrâr _  şerliler, kötülük edenler.  
 eşrâr-ı arzîn _  dünyanın en kötüleri, dünyadaki şerliler.  
 eşyâ _ şeyler.  
 eşya-i dünyeviye _  dünyaya ait olan her şey, bütün eşya.  
 eşya-i şeffâfe _  saydam eşya.  
 etime _  taamlar, yiyecekler 
 etba _  tâbi olanlar, uyanlar, birisinin idaresinde olanlar, bağlı olanlar, halk, yönetilenler.  
 etkiya-i ümmet _  ümmetin takvalıları. Takvada çok ileri gidenler.  
 etraf-ı âlem _  alemin, dünyanın her tarafı.  
 etvar _  tavırlar, davranışlar; yaşayış biçimi, tarzı.  
 etvâr-ı gaflet _  gaflet tavırları.  
 evkemâ kâl _  söylediği gibi, söylendiği gibi, Hadîs-i Şerif lâfzı ile aynen nâkletmekte bir hatâ olma ihtimali üzerine, mesuliyetten kurtulmak için bu kelam söylenir. "Bu naklettiğim hadisin metinde yanlışım varsa, Peygamber (asm) aslında nasıl söylemiş ise aynen onu 
 evâmir _  emirler, kânunlar.  
 evâmir-i hâkimâne _  Allah'ın her yere hükmedici emirleri.  
 evâmir-i İlâhi _  Allah'ın emirleri.  
 evâmir-i İlâhiye _  Allah'ın emirleri.  
 evâmir-i Kur'âniye _  Kur'ân'ın emirleri.  
 evâmir-i mutlaka _  kesin emirler.  
 evâmir-i Sübhâniye _  kusur ve eksiklikten münezzeh olan Allah'ın emirleri.  
 evâmir-i teklifiye _  Allah'ın emir ve yasaklarıyla ilgili emirleri.  
 evâmir-i tekvin (evâmir-i tekviniye) _  oluşa ve yaratılışa âit İlâhi kânun ve nizamlar yanlış olarak "tabiat kânunları" denen fıtri kânunlar; tekvîne dâir işler,. hâdiseler.  
 evâmir-i tekvîniye-i İlâhiye _  Allah'ın tekvinî emirleri; yaratılışa âit ilâhî kânun ve nizamlar; fıtrî kânunlar ve âdetullahın içine aldığı emirler| suyun donması, tohumun filizlenmesi, ateşin yakması gibi.  
 evâmir-i tekviniye _  Allah'ın kâinata koyduğu varlıklarla ilgili emirler, kânunlar.  
 evâmir-i umumiye-i külliye _  Cenâb-ı Allah'ın her yere ve her şeye nüfuz eden birbirine bağlı ve birbirini gerektiren büyük emirleri.  
 evc-i kemâlât _  mükemmelliğin, kemalâtın zirvesi.  
 evla _  daha uygun. Muvafık.  
 evham _  olmayan birşeyi olur zannı ile meraklanmak, vehimler, kuruntular.  
 evhâm ü şübehât _  vehimler ve şüpheler.  
 evhâm-ı fâside _  dar fikir ve yanlış düşünce.  
 evhâm-ı seyyie _  yersiz korku, kötü düşünce, zararlı fikir.  
 evham-sâz _  evham ve kuruntu veren.  
 evkât _  vakitler.  
 evkât-ı mahsusa _  hususi vakitler.  
 evkât-ı nüzul _  iniş vakitleri, yağmurun yağma zamanları.  
 evlâ _  daha iyi, çok daha iyi, birincisi.  
 evlâd-ı şükür _  erkek çocuk.  
 evliyâ _  velîler, dâimâ Allah'ın rızâsına kavuşmaya çalışan, günahlardan çok kaçınan ibâdet ve taat üzere hayatını geçiren ve mânen Allah'a yâklaşan büyük zatlar.  
 evliyâ-i abdâliye _  bir anda bir kaç yerde görünebilen evliyalar.  
 evliyâ-i ârifin _  Allah'ı hakkıyla bilen evliyâlar.  
 evliyâ-i ümmet _  ümmet-i Muhammed'den (a. s. m. ) velilik derecesine çıkanlar.  
 evrad _  Kur'ân'ı Kerîmden veya başka şeylerden sık. sık ve devamlı okunan duâlar, kısımlar, virdler.  
 evride _  toplardamarlar.  
 evsaf _  vasıflar, özellikler, sıfatlar.  
 evsâf-ı âliye _ . yüce ve ulvi vasıflar.  
 evsaf-ı celal ve cemal _  celâl ve cemal vasıfları, "kızma, azap verme, kahretme" gibi sıfatlarla büyük ölçüde tecelli eden vasıflar celâlî; sevme, şefkat etme nimetlendirme" gibi sıfatlarla küçük ölçüde tecelli eden vasıflar cemalîdir.  
 evsâf-ı celâliye _  Cenâb-ı Hakkın büyüklük vasıfları, Celâl ismine âit vasıfları.  
 evsâf-ı cemâl _  İlâhî güzelliğin vasıfları, hususiyetleri.  
 evsâf-ı cemâliye _  Cenâb-ı Hakkın güzellik vasıfları.  
 evsâf-ı hakîkiye _  gerçek vasıfları.  
 evsâf-i İlâhiye _  Cenâb-ı Hakkın sıfatları.  
 evsâf-ı kemâl _  kemal vasıfları, olgunluk ve mükemmellik sıfatları.  
 evsâf-ı kemâliye _  kemal vasıfları.  
 evsâf-ı Muhammediye _  Muhammed'in (a. s. m. ) vasıfları.  
 evsâf-ı nisbiye _  kıyaslamayla olan vasıflar, diğerlerine, öncekine göre diye anlatılan vasıflar.  
 evsaf-ı Rubûbiyet _  her şeyi idare ve terbiye eden Cenâb-ı Allah'ın. kendine has vasıfları.  
 evvel-i bahar _  ilkbahar.  
 evvel-i fıtrat _  yaratılışın başlangıcı. İlk yaratma. Yaratırken.  
 evvel-i hilkat _  ilk yaratılış safhası.  
 evvela _  ilk önce.  
 evvelen _  ilk olarak.  
 eyne's-serâ mine's-süreyyâ _  bir şeyin imkânsızlığını bildiren bir tâbirdir" yer nerede, Süreyyâ nerede?" Süreyyâ ile yer bir olur mu?" mânâsındadır ve bir birine zıt ve uzak şeyler için söylenir.  
 eyvân _  köşk. Büyük sofa. Divanhâne, Saray.  
 eyyâm-ı Kur'âniye _  Kur'ân'ın günleri, bildiğimiz günlerden farklı ve müddeti çok daha uzun olan Kur'ân'daki âyetlerde zikredilen gün kavramı 
 eyyâm-ı sâire _  diğer günler.  
 ezan-ı haşir _  İsrafil'in sûra üflemesi, âhirette dirilirken okunacak ezan.  
 ezcümle _  böylece, bundan dolayı, bunun gibi, bu cümleden, meselâ.  
 ezdad _  zıtlar.  
 ezel _  evveli olmamak, varlığının başlangıcı olmamak. Ezel; mâzi ve istikbâli birden içine alır, tutar.  
 ezeli _  başlangıcı. olmayan.  
 ezeliyet _  başlangıçsızlık 
 ezhan _  zihinler.  
 ezhâr _  çiçekler. Zühreler.  
 ezkür _  zikirler, Allah'ı anmalar.  
 ezmen _  zamanlar.  
 ezvâc _  hanımlar, eşler.  
 ezvâk _  zevkler.  
 ezvâk-ı ârifin _  ârif kişilerin meşru zevkleri.  
 ezvâk-ı mahsusa _  husûsi zevkler.  
 faaliyet-i mu'ciznümâ _  mu'cize gösteren faaliyet.  
 faaliyet-i Rabbaniye _  her şeyi terbiye eden Allah'ın faaliyeti, icraatı.  
 fahişehane _  fâhişelerin bulunduğu yer, umumhâne.  
 fahl _ ileri gelen, üstün, erkek.  
 fahm _  kömür; karbon.  
 fahr _  övünme, büyüklük taslama.  
 Fahr-i Âlem _  âlemin kendisiyle iftihar ettiği zât olan Peygamber Efendimiz (a. s. m. ) 
 fahr-i Kainat _  kâinâtın kendisiyle övündüğü zât olan Peygamberimiz (a. s. m. ) 
 Fahr-i Risâlet _  peygamberlik müessesesinin medâr-ı iftihârı olan Peygamberimiz (a. s. m. ).  
 Fahr-i Rüsul _  Resülullah olan Hz. Muhammed (a·s. m. ).  
 fâide _ fayda.  
 faik _  yüksek, üstün.  
 fâil _  bir işi yapan.  
 fâil-i muhtar _  kendi istek ve irâdesiyle iş gören, kendi arzusuyla faaliyette bulunan.  
 fail-i mükemmel _  her fiili ve işi mükemmel olan Allah.  
 Fâil-i Zülcelâl _  sonsuz celâl ve fiil sahibi Allah.  
 fâkat _ yoksulluk, fakirlik.  
 fakdü'l·ahbab _  ahbabın bulunmayışı, ahbapsızlık, dostsuzluk.  
 fakir-i mutlak _  sonsuz ihtiyaç içinde olan.  
 fakirâne _  fakir ve muhtaç bir şekilde.  
 fakr _  fakirlik, ihtiyaç içinde bulunma; kulun hiç bir şeyi olmadığı ve her bakımdan Allah a muhtaç olduğunu bilmesi.  
 fakr-ı insâni _  insanın fakirliği ve ihtiyaç içinde oluşu.  
 fakrpişe _ fakirliğe alışmış, fakirlik içinde, muhtaçlık içinde.  
 fâni _  ölümlü, muvakkat, kaybolan, gelip geçici, devamlı olmayan, yok olup giden.  
 fâniyât _  fâniler.  
 fantâziye _  yalandan gösteriş zahîf süs, ihtiyaç olmayıp zevk için kullanılan pahalı eşya.  
 farazâ _  meselâ, say ki, tut ki, diyelim ki.  
 farazi _  var farz edilerek.  
 farize-i hilkat _ yapılması yerine getirilmesi yaratılış icabı olan.  
 farize-i kebir _  insanın ömür boyu yapması gereken farzlar. Allah'ın kesin olarak emrettiği işler.  
 Fârisi _  Farsça; İranlıların dili.  
 fan _  saymak, tutmak, öyle kabul etmek.  
 fan-ı kißye-i cihad _  Müslümanların tamamı olmayıp, ama bir kısmının muhakkak yapması gereken ve bu şekilde farz olan cihad.  
 fan-ı muhâl _  olması imkânsız olup, var gibi kabul edilen; olmayacak şeyi olmuş gibi düşünmek.  
 fâsık _  günahkar, büyük günahları işleyen.  
 fâsık-ı hâsir _  dünyada ve âhirette büyük zararlar eden günahkâr kimse.  
 fâsık-ı mahrum _  günah işlemeye hazır olduğu halde, buna fırsat bulamayan.  
 fasıl _  ayıran, kısımlara bölen.  
 fâsıla _  ara.  
 fasih _  fesahât sahibi, hatasız olarak söyleyen, açık ve güzel konuşan.  
 fâsid _  bozguncu, doğru olmayan, bozuk, mufsid, yanlış olan.  
 fasl _  iki şey arasındaki ek yeri; mafsal; hak ile bâtılın arasını ayıran hüküm| (buna faysal da denir) halletmek, ayrılma; çözme; bölüm; mevsim.  
 fasl-ı bahar _  ilk bahar; bahar mevsimi.  
 Fâtır _  benzeri bulunmayan şeyi yaratan, hârika üstün san atıyla yaratan Allah.  
 Fâtır-ı Bimisâl _  benzersiz şeyleri yaratan. Harika üstün ve misilsiz sanatlarla yaratan Allah.  
 Fâtır-ı Hakîm _  her şeyi bir maksada uygun ve hikmetle benzersiz bir şekilde yaratan Allah.  
 Fâtır-ı Hakim-i Zülcemâl _  güzellik sahibi; her şeyi faydalı, hikmetli ve yoktan yaratan Allah.  
 Fâtır-ı Kerîm _  bol lütuf ve keremiyle yaratan Allah.  
 Fâhr-ı Kerim-i Zülcemâl _  Yarattığı her şeye bir güzellik ikram eden Allah.  
 Fâtır-ı Rahîm _  sonsuz merhamet sahibi ve her şeyi benzersiz surette yaratan Allah.  
 Fâtır-ı Rahmân _  çok merhametli ve benzersiz yaratan Allah.  
 Fâtır-ı Zülcelâl _  sonsuz büyüklük sahibi ve benzeri olmayan şeyleri yaratan Allah.  
 Fâtır-ı Zülcemâl _  sonsuz güzellik sahibi ve her şeyi benzersiz yaratan Allah.  
 Fâtiha-i Şerîfe _  Kur'ân'ın şânı şerefi büyük ilk süresi.  
 Fâtiha-i Şerife _  Kur'ân'ın ilk süresinin ismi.  
 fâtiha _  bir şeyin başlangıcı.  
 faysal _  karar, hüküm, fasıl, hal. (bak. fasl) 
 fazilet _  değer, meziyet, üstünlük; îman, irfan, iyilik itibâriyle olan yüksek derece.  
 fazilet-i a'mâl _  amellerdeki makbuliyet, üstünlük, fazilet.  
 fazilet-i cüz'iye _  kısmi üstünlük, az ve küçük faziletler, meziyetler.  
 fazilet-i külliye _  büyük fâziletler, meziyetler.  
